b 2028 800 1 1 1 1 0 1
f 0 0.001 0 1 
f 1 0.001 2 3 
f 2 0.001 4 5 
f 3 0.001 6 7 
f 4 0.001 8 9 
f 5 0.001 10 1600 11 
f 6 0.001 12 13 
f 7 0.001 14 1602 15 
f 8 0.001 16 17 
f 9 0.001 18 19 
f 10 0.001 20 1604 21 
f 11 0.001 22 23 
f 12 0.001 24 1605 25 
f 13 0.001 26 27 
f 14 0.001 28 29 
f 15 0.001 30 31 
f 16 0.001 32 1608 1606 33 
f 17 0.001 34 35 
f 18 0.001 36 1610 37 
f 19 0.001 38 1616 1612 1614 39 
f 20 0.001 40 41 
f 21 0.001 42 43 
f 22 0.001 44 45 
f 23 0.001 46 1618 1620 47 
f 24 0.001 48 49 
f 25 0.001 50 1622 1624 51 
f 26 0.001 52 53 
f 27 0.001 54 1626 55 
f 28 0.001 56 57 
f 29 0.001 58 59 
f 30 0.001 60 1628 1630 61 
f 31 0.001 62 63 
f 32 0.001 64 65 
f 33 0.001 66 1632 67 
f 34 0.001 68 69 
f 35 0.001 70 1636 1634 71 
f 36 0.001 72 73 
f 37 0.001 74 75 
f 38 0.001 76 77 
f 39 0.001 78 1638 79 
f 40 0.001 80 81 
f 41 0.001 82 1640 1642 83 
f 42 0.001 84 85 
f 43 0.001 86 87 
f 44 0.001 88 89 
f 45 0.001 90 91 
f 46 0.001 92 93 
f 47 0.001 94 95 
f 48 0.001 96 97 
f 49 0.001 98 99 
f 50 0.001 100 101 
f 51 0.001 102 1644 103 
f 52 0.001 104 1646 1648 105 
f 53 0.001 106 1650 107 
f 54 0.001 108 109 
f 55 0.001 110 1652 111 
f 56 0.001 112 113 
f 57 0.001 114 115 
f 58 0.001 116 1654 117 
f 59 0.001 118 1656 119 
f 60 0.001 120 121 
f 61 0.001 122 1658 123 
f 62 0.001 124 1660 125 
f 63 0.001 126 1662 127 
f 64 0.001 128 129 
f 65 0.001 130 131 
f 66 0.001 132 133 
f 67 0.001 134 135 
f 68 0.001 136 1664 137 
f 69 0.001 138 139 
f 70 0.001 140 141 
f 71 0.001 142 143 
f 72 0.001 144 145 
f 73 0.001 146 147 
f 74 0.001 148 1611 149 
f 75 0.001 150 151 
f 76 0.001 152 153 
f 77 0.001 154 155 
f 78 0.001 156 1666 157 
f 79 0.001 158 1668 159 
